EventID,EventName,EventDescription,Company,Event type,Allison's Event Type,EventDate,EventTime,Time of Day,EventURL,EventLocation,EventAddress,City Grouping,TotalAttendance,Went,NoShow,DidntGo,WentPct,NoShowPct,DidntGoPct
243781906,Driving Value Through Analytics,"Featured Speaker: Kira Barclay, Analytics Director at John Deere Financial World Headquarters in Johnston, Iowa. Kira's career with John Deere Financial began as an intern in Risk Analytics and throughout her tenure she’s held positions of increasing responsibility in Risk Analytics and Market Pricing. She worked for the John Deere Construction and Forestry Division as Manager, Discounts and Incentives and most recently served as Director, Advanced Analytics Strategy. Kira will be sharing lessons learned in how to consistently drive value using analytics throughout multiple business units in an organization.",John Deere Financial,Guest speaker,Business,2017-11-01,17:30,After Work,https://www.meetup.com/Des-Moines-Data-Analytics/events/243781906/,John Deere Financial,"6400 NW 86th St, Johnston, IA",Other Suburb,60,37,22,1.00,61.67,36.67,1.67
244751555,The Need for Speed: Using Analytics to Beat the Competition,"Being fast is sometimes more important than being perfect. Customer needs are changing and leaders want immediate results. Rob Wetzeler, Head of Data & Analytics at INTL FC Stone, will share how his team is focused on providing the right level of insights at the speed his organization demands. INTL FCStone provides clients across the globe with a comprehensive range of customized financial services and tools to help them protect their margins and manage volatility.",INTL FC Stone,Guest speaker,Business,2017-12-05,17:30,After Work,https://www.meetup.com/Des-Moines-Data-Analytics/events/244751555/,INTL FCStone,"1075 Jordan Creek Pkwy, West Des Moines, IA",West Des Moines,54,28,22,4.00,51.85,40.74,7.41
245856825,Using an Analytics Maturity Model to Drive Business Results,"Knowing the next step in your analytics maturity is essential. The work begins by laying a foundation including solid data, alignment from business leaders, and business intelligence with impact. Paul Long, Director of Business Insights & Analytics at Kum & Go, will share how the analytics team is taking the business from ""what did happen?"" to ""what will happen?"" as they progress with their analytics maturity and drive business results.",Kum & Go,Guest speaker,Business,2018-01-10,17:30,After Work,https://www.meetup.com/Des-Moines-Data-Analytics/events/245856825/,WDM Public Library,"4000 Mills Civic Pkwy, West Des Moines, IA",West Des Moines,74,46,20,6.00,62.16,27.03,8.11
246872549,Using NLP to Change Lives,"The work that data and analytics professionals do is changing the world. At UnityPoint Health it's also changing patients’ lives. Allison Smith, Strategic Analytics Manager, and Dan Reck, Senior Analyst, ASA, will share how their team is using Natural Language Processing (NLP) and IBM Watson technology to analyze unstructured data, enabling UnityPoint to identify patients with diabetes who were not appropriately documented.",UnityPoint Health,Guest speaker,Technical,2018-02-12,17:30,After Work,https://www.meetup.com/Des-Moines-Data-Analytics/events/246872549/,Iowa Methodist Medical Center,"1415 Woodland Ave, Des Moines, IA",Downtown,0,0,0,0.00,0.00,0.00,0.00
248470750,Analytics Taking Flight,"Analytics help companies ascend, especially in the airline industry, where getting aircraft in the air as quickly as possible is essential. Tonio Lora and Dipo Thompson from Microsoft will share a use case of how combining real-time data with advanced analytics is preventing mechanical failures, something that impacts us all as we prepare for takeoff. They will highlight how advancements in technology, such as Power BI, solve problems so that you can continue to soar.",Microsoft,Guest speaker,Technical,2018-03-20,17:30,After Work,https://www.meetup.com/Des-Moines-Data-Analytics/events/248470750/,Public Library of Des Moines,"1000 Grand Ave, Des Moines, IA",Downtown,0,0,0,0.00,0.00,0.00,0.00
249713104,Using Analytics & Technology to Set the Pace,"The best way to accelerate the pace is to invest in analytics and technology. Eric Coleman, VP of Pricing and Product Management, and Bryn Clarke, Research Consultant, at Nationwide Insurance will share how they are staying ahead of competition and setting the pace for the insurance industry by investing in technology and analytics techniques, such as Artificial Intelligence and Deep Learning.",Nationwide Insurance,Guest speaker,Business,2018-05-09,15:00,Afternoon,https://www.meetup.com/Des-Moines-Data-Analytics/events/249713104/,Nationwide Insurance,"1100 Locust St, Des Moines, IA",Downtown,0,0,0,0.00,0.00,0.00,0.00
250692469,Our Analytics Journey,"Rajesh Chalamalasetti, Chief Analytics Officer, and Tej Dhawan, Chief Data Officer will talk about the analytics journey at Principal Financial Group. They will highlight the importance of fueling your foundational data with the right technology and helping everyone to see how they are part of the analytics team.",Principal Financial,Guest speaker,People & Management,2018-06-13,17:30,After Work,https://www.meetup.com/Des-Moines-Data-Analytics/events/250692469/,Principal Financial Group,"711 High St, Des Moines, IA",Downtown,0,0,0,0.00,0.00,0.00,0.00
251988703,Data & Analytics Career Panel,"Have you been thinking about what is next in your career? Our panel of previous presenters will share their personal experiences and thoughts on what analytics leaders are looking for in talent, creating your own development plan, and the importance of building a personal brand. Come participate in the discussion! Panelist Include: Kira Barclay, Analytics Director, John Deere Financial; Rob Wetzeler, Head of Data & Analytics, INTL FCStone; Paul Long, Director of Business Insights & Analytics, Kum & Go; Allison Smith, Manager Strategic Analytics, UnityPoint Health; Bryn Clarke, Research Consultant, Nationwide Insurance",Panel,Career development,Career Development,2018-07-12,16:30,After Work,https://www.meetup.com/Des-Moines-Data-Analytics/events/251988703/,The Forge,"1420 Locust St, Des Moines, IA",Downtown,0,0,0,0.00,0.00,0.00,0.00
252940408,Collaboration as a Method to Success ,"Success in Data Analytics takes more than just developing a great product. It means working together with key stakeholders in the organization. Learn from Ian Asplund, Senior VP of Strategic Analytics, Aaron Santos, Data Scientist, and Whitney Lovelace, Data Scientist, as they share how the EMC Insurance analytics team is using collaboration with business operations, IT, and vendors as the pathway to success.",EMC Insurance,Guest speaker,People & Management,2018-08-15,16:30,After Work,https://www.meetup.com/Des-Moines-Data-Analytics/events/252940408/,EMC Insurance,"700 Walnut St, Des Moines, IA",Downtown,0,0,0,0.00,0.00,0.00,0.00
254486972,Improving Customer Experience Using Analytics,"Do you ever wonder if your feedback is heard? Hy-Vee will be showing off their new Tech space, their analytics prowess and their journey to better understand customers and improve experience. Speakers will include Muris Rahmanovic, Director Business Analytics; Andrew Sitz, Business Intelligence Developer; Rob Vicker, Solutions Architect and Madison Lang, Data Strategist at Zirous.",Hy-Vee,Guest speaker,Business,2018-09-18,17:30,After Work,https://www.meetup.com/Des-Moines-Data-Analytics/events/254486972/,Hy-Vee,"3801 South James St, Grimes, IA",Other Suburb,0,0,0,0.00,0.00,0.00,0.00
